Season,Station,File,DateTimeCorrected,Species,Enter,Stay,RightCens
N220227,BSN0519,IMG_0344.AVI,2022/3/1 0:02,Boar,NA,NA,NA
N220227,BSN0519,IMG_0345.AVI,2022/3/1 3:18,RaccoonDog,NA,NA,NA
N220227,BSN0519,IMG_0346.AVI,2022/3/1 22:26,Raccoon,NA,NA,NA
N220227,BSN0519,IMG_0347.AVI,2022/3/1 22:31,Raccoon,NA,NA,NA
N220227,BSN0519,IMG_0348.AVI,2022/3/2 10:16,Others,NA,NA,NA
N220227,BSN0553,IMG_0442.AVI,2022/3/1 0:21,Marten,NA,NA,NA
N220227,BSN0553,IMG_0443.AVI,2022/3/1 5:32,Weasel,NA,NA,NA
N220227,BSN0553,IMG_0444.AVI,2022/3/1 5:34,Weasel,NA,NA,NA
N220227,BSN0553,IMG_0445.AVI,2022/3/1 5:46,Others,NA,NA,NA
N220227,BSN0553,IMG_0446.AVI,2022/3/2 12:33,Others,NA,NA,NA
N220227,BSN0554,IMG_0248.AVI,2022/3/2 9:04,Others,NA,NA,NA
N220227,BSN0554,IMG_0249.AVI,2022/3/2 10:52,Deer,NA,NA,NA
N220227,BSN0554,IMG_0250.AVI,2022/3/2 11:50,Others,NA,NA,NA
N220227,BSN0554,IMG_0251.AVI,2022/3/2 11:50,Others,NA,NA,NA
N220227,BSN0554,IMG_0252.AVI,2022/3/2 11:57,Others,NA,NA,NA
N220227,BSN0554,IMG_0253.AVI,2022/3/2 11:59,Others,NA,NA,NA
N220227,BSN0554,IMG_0254.AVI,2022/3/2 13:41,Others,NA,NA,NA
N220227,BSN0590,IMG_0295.AVI,2022/3/1 6:41,Others,NA,NA,NA
N220227,BSN0590,IMG_0296.AVI,2022/3/1 6:57,Others,NA,NA,NA
N220227,BSN0590,IMG_0297.AVI,2022/3/1 6:58,Others,NA,NA,NA
N220227,BSN0590,IMG_0298.AVI,2022/3/1 7:25,Others,NA,NA,NA
N220227,BSN0590,IMG_0299.AVI,2022/3/1 7:41,Others,NA,NA,NA
N220227,BSN0590,IMG_0300.AVI,2022/3/1 8:49,Others,NA,NA,NA
N220227,BSN0590,IMG_0301.AVI,2022/3/1 9:59,Others,NA,NA,NA
N220227,BSN0590,IMG_0302.AVI,2022/3/2 7:46,Others,NA,NA,NA
N220227,BSN0590,IMG_0303.AVI,2022/3/2 13:19,Others,NA,NA,NA
N220227,BSN0617,IMG_0131.AVI,2022/3/2 0:06,Boar,NA,NA,NA
N220227,BSN0617,IMG_0132.AVI,2022/3/2 14:42,Others,NA,NA,NA
N220227,BSN0617,IMG_0133.AVI,2022/3/2 14:43,Others,NA,NA,NA
N220227,BSN0617,IMG_0134.AVI,2022/3/2 14:43,Others,NA,NA,NA
N220227,BSN0618,IMG_0114.AVI,2022/3/2 16:24,Others,NA,NA,NA
N220227,BSN0618,IMG_0115.AVI,2022/3/2 16:25,Others,NA,NA,NA
N220227,BSN0654,IMG_0880.AVI,2022/3/1 16:50,Boar,NA,NA,NA
N220227,BSN0654,IMG_0881.AVI,2022/3/2 13:10,Others,NA,NA,NA
N220227,BSN0654,IMG_0882.AVI,2022/3/2 14:03,Others,NA,NA,NA
N220227,BSN0661,IMG_0370.AVI,2022/3/1 6:15,Muntjac,NA,NA,NA
N220227,BSN0661,IMG_0371.AVI,2022/3/3 5:57,Others,NA,NA,NA
N220227,BSN0661,IMG_0372.AVI,2022/3/3 11:01,Others,NA,NA,NA
N220227,BSN0661,IMG_0373.AVI,2022/3/3 15:11,Others,NA,NA,NA
N220227,BSN0661,IMG_0374.AVI,2022/3/3 15:11,Others,NA,NA,NA
N220227,BSN0689,IMG_0379.AVI,2022/3/1 8:28,Others,NA,NA,NA
N220227,BSN0689,IMG_0380.AVI,2022/3/1 8:52,Others,NA,NA,NA
